Date,BTC,MSTR,MARA,RIOT,CLSK,TSLA,HUT,COIN,XYZ,3350.T,SMLR,0434.HK,GLXY.TO,HIVE,CANG,EXOD,FUFU,3659.T,FLD,CIFR,CAN,AKER.OL,BITF,BTDR,MSW,BTBT,BLK,MELI,ISP.MI,GLOB,RUM,CORZ,LMFA,ABT.DU,GNS,DMGI.V,ALTBG.PA,LQWD.V,CBIT.V,SATO.V
2023-04-05,28177.984375,29.083999633789062,7.929999828338623,9.149999618530273,2.490000009536743,185.52000427246094,8.350000381469727,60.779998779296875,67.66000366210938,32.0,23.239999771118164,,5.21999979019165,3.1600000858306885,1.149999976158142,2.5999999046325684,10.300000190734863,3155.50634765625,10.229999542236328,2.240000009536743,2.509999990463257,619.5125122070312,0.9089999794960022,10.199999809265137,,1.4700000286102295,623.8890991210938,1250.050048828125,1.930829644203186,148.9600067138672,8.609999656677246,,4.716000080108643,0.12600000202655792,13.0,0.30000001192092896,0.2612319886684418,0.7699999809265137,,0.24500000476837158
2023-04-06,28044.140625,29.010000228881836,7.980000019073486,9.15999984741211,2.440000057220459,185.05999755859375,8.399999618530273,61.439998626708984,68.0999984741211,31.0,23.06999969482422,0.45652061700820923,5.099999904632568,3.2300000190734863,1.1399999856948853,2.5999999046325684,10.300000190734863,3110.78271484375,10.229999542236328,2.3299999237060547,2.490000009536743,,0.9200000166893005,10.529999732971191,,1.5199999809265137,624.2315063476562,1245.0,1.9718042612075806,149.3800048828125,8.9399995803833,,4.679999828338623,0.12600000202655792,11.899999618530273,0.29499998688697815,0.26831701397895813,0.7699999809265137,,0.24500000476837158
2023-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-10,29652.98046875,31.277999877929688,9.100000381469727,10.579999923706055,2.7100000381469727,184.50999450683594,9.199999809265137,66.12999725341797,66.36000061035156,32.0,22.84000015258789,,5.380000114440918,3.509999990463257,1.159999966621399,2.5999999046325684,10.300000190734863,3110.78271484375,10.229999542236328,2.5399999618530273,2.5899999141693115,,0.9599999785423279,11.75,,1.6699999570846558,627.4838256835938,1251.6199951171875,,152.47000122070312,9.0,,4.7820000648498535,,11.5,0.3100000023841858,,0.8100000023841858,,0.25
2023-04-11,30235.05859375,33.23500061035156,10.229999542236328,12.380000114440918,3.0999999046325684,186.7899932861328,9.899999618530273,70.19000244140625,66.41999816894531,31.0,23.329999923706055,0.4614294171333313,5.800000190734863,3.7799999713897705,1.149999976158142,3.200000047683716,10.329999923706055,3135.629150390625,10.229999542236328,2.569999933242798,2.9200000762939453,620.8486328125,1.100000023841858,8.760000228881836,,1.809999942779541,636.8606567382812,1285.06005859375,1.9876923561096191,156.99000549316406,9.109999656677246,,4.955999851226807,0.12600000202655792,11.5,0.3199999928474426,0.2645379900932312,0.8899999856948853,,0.2549999952316284
2023-04-12,30139.052734375,32.28300094604492,9.949999809265137,12.350000381469727,3.259999990463257,180.5399932861328,9.600000381469727,67.83999633789062,62.7400016784668,31.0,23.510000228881836,0.45652061700820923,5.5,3.5799999237060547,1.1399999856948853,3.200000047683716,10.329999923706055,3145.56787109375,10.229999542236328,2.359999895095825,2.869999885559082,629.3107299804688,1.100000023841858,8.350000381469727,,1.6299999952316284,633.3324584960938,1256.0400390625,2.003162384033203,157.39999389648438,8.989999771118164,,5.190000057220459,0.12600000202655792,12.0,0.3149999976158142,0.2593420147895813,0.8600000143051147,,0.25999999046325684
2023-04-13,30399.06640625,34.071998596191406,11.520000457763672,13.5,3.940000057220459,185.89999389648438,10.949999809265137,68.94999694824219,64.55999755859375,32.0,24.3700008392334,0.4859735369682312,5.889999866485596,4.010000228881836,1.1699999570846558,3.200000047683716,10.359999656677246,3105.8134765625,10.229999542236328,2.6500000953674316,3.119999885559082,622.184814453125,1.25,10.0,,1.899999976158142,637.859130859375,1296.1199951171875,1.996890664100647,162.89999389648438,9.09000015258789,,5.639999866485596,0.12600000202655792,11.600000381469727,0.33500000834465027,0.2532010078430176,0.8999999761581421,,0.27000001072883606
2023-04-14,30485.69921875,33.375,11.970000267028809,13.479999542236328,4.130000114440918,185.0,10.649999618530273,69.91000366210938,64.04000091552734,31.0,24.350000381469727,0.4859735369682312,5.679999828338623,4.050000190734863,1.1299999952316284,3.200000047683716,10.369999885559082,3140.5986328125,10.229999542236328,2.9100000858306885,3.119999885559082,630.2014770507812,1.25,7.03000020980835,,1.9600000381469727,657.4497680664062,1301.8800048828125,2.06420636177063,158.88999938964844,9.34000015258789,,5.130000114440918,0.12600000202655792,12.0,0.33500000834465027,0.27209699153900146,0.8999999761581421,,0.2849999964237213
2023-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
