Date,BTC,MSTR
2022-02-01,38743.2734375,37.29999923706055
2022-02-02,36952.984375,34.88399887084961
2022-02-03,37154.6015625,34.00899887084961
2022-02-04,41500.875,39.16400146484375
2022-02-07,43840.28515625,41.34700012207031
2022-02-08,44118.4453125,42.542999267578125
2022-02-09,44338.796875,44.65999984741211
2022-02-10,43565.11328125,43.14799880981445
2022-02-11,42407.9375,41.10100173950195
2022-02-14,42586.91796875,40.94900131225586
2022-02-15,44575.203125,43.7239990234375
2022-02-16,43961.859375,43.49800109863281
2022-02-17,40538.01171875,40.459999084472656
2022-02-18,40030.9765625,39.59700012207031
2022-02-22,38286.02734375,37.77000045776367
2022-02-23,37296.5703125,36.50299835205078
2022-02-24,38332.609375,39.69599914550781
2022-02-25,39214.21875,40.5
2022-02-28,43193.234375,44.29999923706055
2022-03-01,44354.63671875,46.472999572753906
2022-03-02,43924.1171875,45.92900085449219
2022-03-03,42451.7890625,42.869998931884766
2022-03-04,39137.60546875,41.0359992980957
2022-03-07,38062.0390625,38.89099884033203
2022-03-08,38737.26953125,41.0359992980957
2022-03-09,41982.92578125,43.67499923706055
2022-03-10,39437.4609375,42.112998962402344
2022-03-11,38794.97265625,39.082000732421875
2022-03-14,39666.75390625,36.99300003051758
2022-03-15,39338.78515625,39.61399841308594
2022-03-16,41143.9296875,42.87799835205078
2022-03-17,40951.37890625,43.409000396728516
2022-03-18,41801.15625,45.428001403808594
2022-03-21,41077.99609375,43.64799880981445
2022-03-22,42358.80859375,45.994998931884766
2022-03-23,42892.95703125,45.069000244140625
2022-03-24,43960.93359375,48.391998291015625
2022-03-25,44348.73046875,47.242000579833984
2022-03-28,47128.00390625,51.0
2022-03-29,47465.73046875,52.0
2022-03-30,47062.6640625,50.069000244140625
2022-03-31,45538.67578125,48.63199996948242
2022-04-01,46281.64453125,49.097999572753906
2022-04-04,46622.67578125,50.125999450683594
2022-04-05,45555.9921875,48.72800064086914
2022-04-06,43206.73828125,45.51100158691406
2022-04-07,43503.84765625,46.361000061035156
2022-04-08,42287.6640625,45.32400131225586
2022-04-11,39521.90234375,43.638999938964844
2022-04-12,40127.18359375,44.345001220703125
2022-04-13,41166.73046875,46.358001708984375
2022-04-14,39935.515625,44.91899871826172
2022-04-18,40826.21484375,44.5890007019043
2022-04-19,41502.75,47.11399841308594
2022-04-20,41374.37890625,44.90299987792969
2022-04-21,40527.36328125,42.7859992980957
2022-04-22,39740.3203125,40.90800094604492
2022-04-25,40458.30859375,42.79999923706055
2022-04-26,38117.4609375,39.10100173950195
2022-04-27,39241.12109375,38.577999114990234
2022-04-28,39773.828125,40.04899978637695
2022-04-29,38609.82421875,35.41699981689453
2022-05-02,38529.328125,36.590999603271484
2022-05-03,37750.453125,34.34000015258789
2022-05-04,39698.37109375,36.64400100708008
2022-05-05,36575.140625,31.45199966430664
2022-05-06,36040.921875,29.423999786376953
2022-05-09,30296.953125,21.905000686645508
2022-05-10,31022.90625,22.552000045776367
2022-05-11,28936.35546875,16.81999969482422
2022-05-12,29047.751953125,17.118000030517578
2022-05-13,29283.103515625,20.457000732421875
2022-05-16,29862.91796875,20.150999069213867
2022-05-17,30425.857421875,22.48699951171875
2022-05-18,28720.271484375,19.743999481201172
2022-05-19,30314.333984375,21.07699966430664
2022-05-20,29200.740234375,20.274999618530273
2022-05-23,29098.91015625,20.437000274658203
2022-05-24,29655.5859375,19.301000595092773
2022-05-25,29562.361328125,19.812000274658203
2022-05-26,29267.224609375,21.610000610351562
2022-05-27,28627.57421875,21.93899917602539
2022-05-31,31792.310546875,26.4689998626709
2022-06-01,29799.080078125,23.81399917602539
2022-06-02,30467.48828125,24.445999145507812
2022-06-03,29704.390625,22.722000122070312
2022-06-06,31370.671875,23.54400062561035
2022-06-07,31155.478515625,24.0
2022-06-08,30214.35546875,23.288999557495117
2022-06-09,30111.998046875,21.775999069213867
2022-06-10,29083.8046875,20.336000442504883
2022-06-13,22487.388671875,15.21500015258789
2022-06-14,22206.79296875,15.687000274658203
2022-06-15,22572.83984375,17.134000778198242
2022-06-16,20381.650390625,16.134000778198242
2022-06-17,20471.482421875,16.760000228881836
2022-06-21,20710.59765625,17.895999908447266
2022-06-22,19987.029296875,17.090999603271484
2022-06-23,21085.876953125,18.83099937438965
2022-06-24,21231.65625,20.54400062561035
2022-06-27,20735.478515625,19.67300033569336
2022-06-28,20280.634765625,18.61199951171875
2022-06-29,20104.0234375,17.9689998626709
2022-06-30,19784.7265625,16.43000030517578
2022-07-01,19269.3671875,16.677000045776367
2022-07-05,20190.115234375,18.76799964904785
2022-07-06,20548.24609375,18.829999923706055
2022-07-07,21637.587890625,21.951000213623047
2022-07-08,21731.1171875,22.128000259399414
2022-07-11,19970.556640625,20.09000015258789
2022-07-12,19323.9140625,19.25200080871582
2022-07-13,20212.07421875,19.55500030517578
2022-07-14,20569.919921875,20.458999633789062
2022-07-15,20836.328125,21.398000717163086
2022-07-18,22485.689453125,22.562999725341797
2022-07-19,23389.43359375,26.716999053955078
2022-07-20,23231.732421875,28.87700080871582
2022-07-21,23164.62890625,28.97100067138672
2022-07-22,22714.978515625,28.191999435424805
2022-07-25,21361.701171875,26.586000442504883
2022-07-26,21239.75390625,23.763999938964844
2022-07-27,22930.548828125,26.239999771118164
2022-07-28,23843.88671875,27.57200050354004
2022-07-29,23804.6328125,28.606000900268555
2022-08-01,23314.19921875,27.573999404907227
2022-08-02,22978.1171875,27.826000213623047
2022-08-03,22846.5078125,31.368000030517578
2022-08-04,22630.95703125,30.930999755859375
